symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_days,hold_bars,allocated_capital,trade_pnl_rupees,year
SHAILY,2026-03-17,2026-03-20,2281.0399,2395.0918,12.54,5.91,19.37,0.05,0.047,take_profit,False,3,3,107471.42,5051.16,2026
ATGL,2026-03-19,2026-03-20,556.4281,584.2495,4.42,5.45,3.83,0.05,0.047,take_profit,False,1,1,132448.37,6225.07,2026
JPPOWER,2026-03-19,2026-03-23,16.7584,15.4922,2.39,8.73,13.56,-0.075552,-0.078552,stopped_out_gap,False,4,2,105958.69,-8323.27,2026
HAPPSTMNDS,2026-03-20,2026-03-23,411.0554,390.5027,0.85,4.12,7.83,-0.05,-0.053,stopped_out,True,3,1,135006.16,-7155.33,2026
ACI,2026-03-20,2026-04-02,601.5506,571.4731,0.62,1.58,3.66,-0.05,-0.053,stopped_out,True,13,7,108004.93,-5724.26,2026
PRIVISCL,2026-03-24,2026-04-10,2943.0709,2898.65,0.92,1.98,2.19,-0.015093,-0.018093,time_exit,False,17,10,91986.93,-1664.32,2026
GRANULES,2026-03-24,2026-03-25,606.6532,636.9858,3.04,1.58,2.95,0.05,0.047,take_profit,False,1,1,114983.66,5404.23,2026
SHILPAMED,2026-03-24,2026-04-01,338.169,359.82,5.1,12.57,6.62,0.064024,0.061024,take_profit_gap,False,8,4,143729.57,8770.95,2026
ACUTAAS,2026-03-24,2026-03-25,2436.5177,2558.3436,1.66,3.59,3.98,0.05,0.047,take_profit,False,1,1,179661.97,8444.11,2026
TRIVENI,2026-03-25,2026-03-27,407.6037,387.2235,3.71,12.54,9.19,-0.05,-0.053,stopped_out,True,2,1,135288.33,-7170.28,2026
BALRAMCHIN,2026-03-25,2026-04-02,508.7542,483.3165,0.79,1.5,4.85,-0.05,-0.053,stopped_out,True,8,4,108230.67,-5736.23,2026
HEG,2026-03-27,2026-03-30,572.5861,543.9568,4.67,14.2,13.75,-0.05,-0.053,stopped_out,True,3,1,112208.14,-5947.03,2026
DMART,2026-03-30,2026-04-01,3958.7784,4156.7174,3.19,2.84,1.52,0.05,0.047,take_profit,False,2,1,111018.74,5217.88,2026
DMART,2026-04-01,2026-04-06,4273.2356,4486.8974,4.1,3.75,4.81,0.05,0.047,take_profit,False,5,2,142562.42,6700.43,2026
GANECOS,2026-04-01,2026-04-02,1022.7111,1073.8467,9.45,4.08,7.6,0.05,0.047,take_profit,False,1,1,114049.94,5360.35,2026
GANECOS,2026-04-02,2026-04-08,1110.7051,1055.1698,3.78,10.43,9.92,-0.05,-0.053,stopped_out,True,6,3,156077.03,-8272.08,2026
ADANIPOWER,2026-04-02,2026-04-08,160.05,168.0525,1.81,1.78,3.54,0.05,0.047,take_profit,False,6,3,124861.62,5868.5,2026
OLAELEC,2026-04-02,2026-04-06,28.3542,29.7719,3.63,5.13,10.62,0.05,0.047,take_profit,False,4,1,99889.3,4694.8,2026
TRENT,2026-04-06,2026-04-16,3835.5169,4027.2927,5.45,4.14,5.47,0.05,0.047,take_profit,False,10,7,104544.66,4913.6,2026
DMART,2026-04-06,2026-04-09,4553.5755,4325.8967,1.31,2.26,2.28,-0.05,-0.053,stopped_out,True,3,3,130680.83,-6926.08,2026
MOTILALOFS,2026-04-08,2026-04-15,757.7787,795.6677,1.92,1.52,3.75,0.05,0.047,take_profit,False,7,4,139342.74,6549.11,2026
SHRIRAMFIN,2026-04-08,2026-04-23,1023.7116,1008.7953,4.73,1.66,4.94,-0.014571,-0.017571,time_exit,False,15,10,111474.19,-1958.71,2026
BHEL,2026-04-09,2026-04-13,277.3386,291.2055,4.04,2.77,4.02,0.05,0.047,take_profit,False,4,2,113930.3,5354.72,2026
BAJAJ-AUTO,2026-04-10,2026-04-27,9818.4068,9657.169,0.76,1.84,4.4,-0.016422,-0.019422,time_exit,False,17,10,109208.76,-2121.05,2026
TATAPOWER,2026-04-13,2026-04-17,409.7548,430.2425,2.11,1.91,3.7,0.05,0.047,take_profit,False,4,3,111224.02,5227.53,2026
PARAS,2026-04-15,2026-04-17,755.2274,792.9888,6.1,3.67,5.57,0.05,0.047,take_profit,False,2,2,118157.58,5553.41,2026
OSWALPUMPS,2026-04-16,2026-04-17,408.7543,429.192,3.52,1.75,2.7,0.05,0.047,take_profit,False,1,1,116417.72,5471.63,2026
IREDA,2026-04-17,2026-04-22,133.0765,139.7303,1.55,1.61,2.35,0.05,0.047,take_profit,False,5,3,165544.55,7780.59,2026
GNFC,2026-04-17,2026-05-04,489.9449,475.9619,2.38,2.64,5.31,-0.02854,-0.03154,time_exit,False,17,10,132435.64,-4177.02,2026
GNFC,2026-04-17,2026-05-04,489.9449,475.9619,2.07,2.64,5.31,-0.02854,-0.03154,time_exit,False,17,10,105948.51,-3341.62,2026
HINDUNILVR,2026-04-22,2026-04-30,2369.9844,2251.4852,2.47,2.19,2.53,-0.05,-0.053,stopped_out,True,8,6,119423.84,-6329.46,2026
OFSS,2026-04-23,2026-04-27,8795.8958,9235.6905,6.65,7.61,4.29,0.05,0.047,take_profit,False,4,2,117442.17,5519.78,2026
INDUSINDBK,2026-04-27,2026-05-04,900.6001,913.4431,1.61,3.47,4.04,0.01426,0.01126,time_exit,False,7,5,111970.93,1260.79,2026
VBL,2026-04-27,2026-05-04,518.6132,506.4966,4.27,3.96,4.84,-0.023363,-0.026363,time_exit,False,7,5,139963.67,-3689.86,2026
MOTILALOFS,2026-04-30,2026-05-04,800.6501,836.1817,0.81,3.08,3.92,0.044378,0.041378,time_exit,False,4,2,112195.62,4642.43,2026
